Date,Open,High,Low,Close,Adj Close,Volume
0,7248.07 ,7354.44 ,6854.67 ,6879.52 ,6879.52 ,5260300000.00 
1,6847.28 ,6984.94 ,6631.42 ,6860.67 ,6860.67 ,4348410000.00 
2,7196.15 ,7418.37 ,7169.86 ,7417.86 ,7417.86 ,4441080000.00 
3,7421.36 ,7671.21 ,7276.40 ,7384.30 ,7384.30 ,4683630000.00 
4,7462.21 ,7809.83 ,7462.21 ,7797.54 ,7797.54 ,4014670000.00 
5,7554.25 ,7716.24 ,7491.14 ,7502.38 ,7502.38 ,3989120000.00 
6,7583.46 ,7784.35 ,7539.97 ,7774.15 ,7774.15 ,3870770000.00 
7,7740.06 ,7880.31 ,7642.86 ,7700.10 ,7700.10 ,4078960000.00 
8,7459.50 ,7566.37 ,7301.98 ,7360.58 ,7360.58 ,3700040000.00 
9,7317.45 ,7501.70 ,7307.95 ,7487.31 ,7487.31 ,3622170000.00 
10,7477.27 ,7518.72 ,7288.11 ,7373.08 ,7373.08 ,3294260000.00 
11,7660.17 ,7938.33 ,7617.79 ,7913.24 ,7913.24 ,3849130000.00 
12,8129.99 ,8146.43 ,7881.22 ,7887.26 ,7887.26 ,4085960000.00 
13,7975.72 ,8114.43 ,7901.94 ,8090.90 ,8090.90 ,3487440000.00 
14,8169.01 ,8227.91 ,8072.32 ,8153.58 ,8153.58 ,4145460000.00 
15,8127.69 ,8200.44 ,8035.95 ,8192.42 ,8192.42 ,3184660000.00 
16,8353.21 ,8531.11 ,8338.08 ,8515.74 ,8515.74 ,3767410000.00 
17,8355.96 ,8464.66 ,8308.79 ,8393.18 ,8393.18 ,3347920000.00 
18,8479.11 ,8560.16 ,8393.27 ,8532.36 ,8532.36 ,4057800000.00 
19,8667.48 ,8670.30 ,8531.69 ,8650.14 ,8650.14 ,4348310000.00 
20,8553.38 ,8684.91 ,8553.38 ,8560.73 ,8560.73 ,3827370000.00 
21,8460.69 ,8480.29 ,8215.69 ,8263.23 ,8263.23 ,3788180000.00 
22,8434.55 ,8537.31 ,8404.54 ,8495.38 ,8495.38 ,3041520000.00 
23,8528.84 ,8635.23 ,8475.20 ,8494.75 ,8494.75 ,3759890000.00 
24,8530.08 ,8642.93 ,8464.42 ,8634.52 ,8634.52 ,3696020000.00 
25,8717.98 ,8754.57 ,8697.37 ,8730.16 ,8730.16 ,3694980000.00 
26,8825.69 ,8830.57 ,8600.70 ,8607.73 ,8607.73 ,3730350000.00 
27,8802.70 ,8957.27 ,8765.01 ,8914.71 ,8914.71 ,4407140000.00 
28,8911.02 ,8926.11 ,8825.83 ,8889.55 ,8889.55 ,4335660000.00 
29,8681.29 ,8754.46 ,8566.84 ,8604.95 ,8604.95 ,3741300000.00 
30,8555.32 ,8715.82 ,8537.83 ,8710.71 ,8710.71 ,3443140000.00 
31,8809.66 ,8909.96 ,8781.31 ,8809.12 ,8809.12 ,3933550000.00 
32,8874.70 ,8933.25 ,8819.37 ,8854.39 ,8854.39 ,3656750000.00 
33,8973.78 ,9015.99 ,8932.86 ,8979.66 ,8979.66 ,3787220000.00 
34,9056.89 ,9125.98 ,9018.21 ,9121.32 ,9121.32 ,3813630000.00 
35,9054.91 ,9241.92 ,9053.17 ,9192.34 ,9192.34 ,3925450000.00 
36,9225.15 ,9250.96 ,9000.07 ,9002.55 ,9002.55 ,4336510000.00 
37,9006.05 ,9074.16 ,8752.68 ,8863.17 ,8863.17 ,4273210000.00 
38,8788.04 ,8945.71 ,8705.25 ,8943.72 ,8943.72 ,3965970000.00 
39,8839.99 ,9018.40 ,8821.38 ,9014.56 ,9014.56 ,4240690000.00 
40,9177.15 ,9267.22 ,9154.35 ,9234.83 ,9234.83 ,4341820000.00 
41,9227.46 ,9317.25 ,9183.25 ,9185.10 ,9185.10 ,4193550000.00 
42,9305.62 ,9392.82 ,9304.20 ,9375.78 ,9375.78 ,4315500000.00 
43,9375.19 ,9405.25 ,9254.85 ,9284.88 ,9284.88 ,3745270000.00 
44,9278.55 ,9328.28 ,9239.41 ,9324.59 ,9324.59 ,3668070000.00 
45,9501.21 ,9501.21 ,9333.16 ,9340.22 ,9340.22 ,4448950000.00 
46,9346.12 ,9414.62 ,9144.28 ,9412.36 ,9412.36 ,4489110000.00 
47,9392.99 ,9523.64 ,9345.28 ,9368.99 ,9368.99 ,4113660000.00 
48,9382.35 ,9505.55 ,9324.73 ,9489.87 ,9489.87 ,4742290000.00 
49,9471.42 ,9571.28 ,9462.32 ,9552.05 ,9552.05 ,3847770000.00 
50,9566.53 ,9611.22 ,9472.08 ,9608.38 ,9608.38 ,3990080000.00 
51,9651.86 ,9707.78 ,9627.17 ,9682.91 ,9682.91 ,4679030000.00 
52,9649.65 ,9716.14 ,9560.41 ,9615.81 ,9615.81 ,6141320000.00 
53,9703.54 ,9845.69 ,9685.35 ,9814.08 ,9814.08 ,6607730000.00 
54,9823.44 ,9927.13 ,9780.61 ,9924.75 ,9924.75 ,6197330000.00 
55,9867.19 ,10002.50 ,9863.27 ,9953.75 ,9953.75 ,5319450000.00 
56,10012.32 ,10086.89 ,9962.58 ,10020.35 ,10020.35 ,5170860000.00 
57,9791.24 ,9868.08 ,9491.31 ,9492.73 ,9492.73 ,5300850000.00 
58,9715.87 ,9768.64 ,9413.62 ,9588.81 ,9588.81 ,4388990000.00 
59,9426.90 ,9756.07 ,9403.00 ,9726.02 ,9726.02 ,4476010000.00 
60,9949.78 ,9963.63 ,9748.38 ,9895.87 ,9895.87 ,4669320000.00 
61,9943.31 ,9991.21 ,9891.81 ,9910.53 ,9910.53 ,4279700000.00 
62,9892.48 ,9959.20 ,9885.66 ,9943.05 ,9943.05 ,4335320000.00 
63,10042.13 ,10053.91 ,9872.94 ,9946.12 ,9946.12 ,6093830000.00 
64,9945.49 ,10059.61 ,9916.60 ,10056.48 ,10056.48 ,4506960000.00 
65,10130.83 ,10221.85 ,10112.44 ,10131.37 ,10131.37 ,5755170000.00 
